SEMANA;Fecha;Tipo Transferencia;Origen;Destino;Division; BULTOS; UNIDADES; BULTOS; UNIDADES
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;BELLEZA;;;1;162
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;CALZADO;;;6;84
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;CUIDADO PERSONAL;;;16;179
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;DEPORTIVA;;;1;24
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;GOLOSINAS;;;2;160
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;HOGAR;;;4;37
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;JUGUETERIA;;;1;40
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;ROPA;;;1;84
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;COMAYAGUELA-AEC;VERANO;;;1;18
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;BEBE;;;3;8
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;CALZADO;;;8;125
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;CUIDADO PERSONAL;;;28;353
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;DEPORTIVA;;;4;57
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;GOLOSINAS;;;5;536
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;HOGAR;;;2;10
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;JUGUETERIA;;;2;43
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;PASEO;;;1;1
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;ROPA;;;3;299
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DANLI #1-AEC;VERANO;;;2;32
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DE TODO PARA TODOS-AEC;BEBE;;;1;2
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DE TODO PARA TODOS-AEC;CUIDADO PERSONAL;;;16;129
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DE TODO PARA TODOS-AEC;HOGAR;;;5;71
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;DE TODO PARA TODOS-AEC;INTERIOR DETALLE;;;1;372
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;BEBE;;;2;5
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;CALZADO;;;6;72
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;CUIDADO PERSONAL;;;60;780
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;DEPORTIVA;;;3;42
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;GOLOSINAS;;;2;296
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;HOGAR;;;6;126
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;JUGUETERIA;;;1;38
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;PASEO;;;1;1
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;ROPA;;;1;120
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;EL PARAISO-AEC;VERANO;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;BEBE;;;4;8
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;BELLEZA;;;1;12
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;CALZADO;;;8;96
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;CALZADO PLASTICO;;;1;6
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;CUIDADO PERSONAL;;;22;250
14;1/4/2025;TRASFERENCIAS AEC;MEGABODEGA AEC;ENTRADA DE COPAN-AEC;DEPORTIVA;;;6;90
